接口标识,接口名称,接口地址,接口请求方式,接口参数
updateUsingPOST_2,更新服务商企业信息,https://service.bccastle.com/om/dev/update,post,"['address', 'bankCode', 'bankCompanyName', 'bankCompanyNum', 'certificateauthority', 'certificatename', 'certificateno', 'certificatepic', 'city', 'companyMail', 'companyPhone', 'companyid', 'companytype', 'createuser', 'deleteuser', 'description', 'developernum', 'employeesnum', 'ename', 'idsSysComment', 'issuingauthority', 'legalperson', 'limiteperiod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regaddress', 'registeredcode', 'registereddate', 'registeredfunds', 'registeredtype', 'status', 'validperiod', 'website']"
updateCompanyStatusUsingPOST_1,更新企业状态,https://service.bccastle.com/om/dev/updateStatus,post,"['companyid', 'statusCode']"
uploadUserDateUsingGET_1,返回服务商管理员导出路径,https://service.bccastle.com/om/dev/uploadUserData,get,"['username', 'userCompanyName', 'mobile', 'accValidCode']"
addUsingPOST_3,添加用户,https://service.bccastle.com/om/dev/user/addUser,post,"['adAccountName', 'address', 'changPwdAt', 'company', 'consumeCompanyid', 'departmentNumber', 'displayName', 'employeeNumber', 'employeeType', 'fax', 'givenName', 'headPortrait', 'isPassRemind', 'loginInterceptFlagFive', 'loginInterceptFlagFour', 'loginInterceptFlagOne', 'loginInterceptFlagThree', 'loginInterceptFlagTwo', 'loginName', 'loginType', 'mail', 'mobile', 'otpKey', 'password', 'phone', 'pwdPolicy', 'realNameStatus', 'secAccValid', 'serviceCompanyid', 'sorgId', 'spBirthday', 'spCountry', 'spGender', 'spIdentityNumber', 'spIdentityType', 'spNation', 'spOrgCodePath', 'spOrgNamePath', 'spOrgNumber', 'spPasswordModifyRequired', 'spPinyinShortName', 'spPositionNumber', 'spPositionStatus', 'spUpdateDate', 'title', 'uid']"
bindCompanyUsingPUT,绑定企业,https://service.bccastle.com/om/dev/user/bindCompany,put,"['companytype', 'name', 'ename', 'address', 'employeesnum', 'legalperson', 'registeredcode', 'issuingauthority', 'registeredfunds', 'description', 'logo', 'certificatepic', 'uid']"
deleteUsingPOST_2,删除用户,https://service.bccastle.com/om/dev/user/delete,post,['uids']
findByLoginNameUsingPOST,验证登录名是否重复,https://service.bccastle.com/om/dev/user/findByLoginName,post,['loginName']
findByMailUsingPOST,验证邮箱是否重复,https://service.bccastle.com/om/dev/user/findByMail,post,['mail']
findByMobileUsingPOST,验证手机号是否重复,https://service.bccastle.com/om/dev/user/findByMobile,post,['mobile']
getUsingPOST_1,查询用户信息,https://service.bccastle.com/om/dev/user/get,post,['uid']
getUserListUsingGET_1,获取服务商用户分页信息,https://service.bccastle.com/om/dev/user/getUserList,get,"['username', 'userCompanyName', 'mobile', 'accValidCode', 'page']"
registerUsingPUT,开发者用户注册,https://service.bccastle.com/om/dev/user/register,put,"['displayName', 'loginName', 'mobile', 'mail', 'spGender', 'password']"
updateUsingPOST_3,更新用户,https://service.bccastle.com/om/dev/user/update,post,"['adAccountName', 'address', 'changPwdAt', 'company', 'consumeCompanyid', 'departmentNumber', 'displayName', 'employeeNumber', 'employeeType', 'fax', 'givenName', 'headPortrait', 'isPassRemind', 'loginInterceptFlagFive', 'loginInterceptFlagFour', 'loginInterceptFlagOne', 'loginInterceptFlagThree', 'loginInterceptFlagTwo', 'loginName', 'loginType', 'mail', 'mobile', 'otpKey', 'password', 'phone', 'pwdPolicy', 'realNameStatus', 'secAccValid', 'serviceCompanyid', 'sorgId', 'spBirthday', 'spCountry', 'spGender', 'spIdentityNumber', 'spIdentityType', 'spNation', 'spOrgCodePath', 'spOrgNamePath', 'spOrgNumber', 'spPasswordModifyRequired', 'spPinyinShortName', 'spPositionNumber', 'spPositionStatus', 'spUpdateDate', 'title', 'uid']"
updateAccValidStatusUsingPOST_1,更改服务商管理员启用禁用状态,https://service.bccastle.com/om/dev/user/updateAccValid,post,"['accValidCode', 'uid']"
downAppsUsingPOST,应用下架,https://service.bccastle.com/om/downApps,post,"['result', 'entityId']"
findAppUsingPOST,查找应用信息,https://service.bccastle.com/om/find,post,['entityId']
findAuthChainUsingPOST,获取认证链,https://service.bccastle.com/om/findAuthChain,post,"['authMethId', 'autjMethId']"
findBillListUsingPOST,获取账单分页信息,https://service.bccastle.com/om/findBillList,post,"['billData', 'billPeriod', 'billStatus', 'id', 'moneyReceived', 'name', 'serviceCharge', 'serviceCompanyId', 'settlementAmount', 'p']"
findByEntityIdUsingPOST,findByEntityId,https://service.bccastle.com/om/findByEntityId,post,['entityId']
findByIdUsingPOST,查看密码策略,https://service.bccastle.com/om/findById,post,['id']
findIdpListUsingPOST,获取idp列表,https://service.bccastle.com/om/findIdpList,post,[]
findServiceCompanyUsingPOST,获取公司信息列表,https://service.bccastle.com/om/findServiceCompany,post,[]
findFunctionByEntityIdUsingPOST,根据应用id查询数据字典列表,https://service.bccastle.com/om/function/findFunctionByEntityId,post,"['entityId', 'typeCode']"
importAppsUsingPOST,应用导入,https://service.bccastle.com/om/importApps,post,"['fileZip', 'userName']"
loginUsingPOST,login,https://service.bccastle.com/om/login,post,[]
logoutUsingGET,退出登录,https://service.bccastle.com/om/logout,get,['token']
modifyAppUsingPOST,修改应用,https://service.bccastle.com/om/modify,post,"['appSalesModel', 'appkey', 'appsecret', 'authMethodIds', 'avatar', 'chainCodes', 'companyId', 'companyName', 'createTime', 'description', 'enabled', 'entityDescriptorContent', 'entityId', 'feature', 'guide', 'idpEntityId', 'isAuthenticationIntegrated', 'mode', 'operationSystem', 'priceRatio', 'securityLevel', 'spCode', 'spUrl', 'status', 'storeType', 'type', 'typeName', 'ud', 'userGroup', 'versions']"
saveProductUsingPOST,产品保存接口,https://service.bccastle.com/om/om/saveApplication,post,"['describe', 'casesList', 'agreementList', 'appSalesModel', 'appkey', 'appsecret', 'authMethodIds', 'avatar', 'chainCodes', 'companyId', 'companyName', 'createTime', 'description', 'enabled', 'entityDescriptorContent', 'entityId', 'feature', 'guide', 'idpEntityId', 'isAuthenticationIntegrated', 'mode', 'operationSystem', 'priceRatio', 'securityLevel', 'spCode', 'spUrl', 'status', 'storeType', 'type', 'typeName', 'ud', 'userGroup', 'versions', 'documentList', 'standardList', 'appSalesModel']"
createOrderUsingPOST,创建订单,https://service.bccastle.com/om/order/createOrder,post,"['accountNumber', 'appId', 'appNumber', 'appSalesModel', 'companyName', 'consumeCompanyId', 'consumeUserId', 'createTime', 'function', 'gtTime', 'id', 'lsTime', 'name', 'openDate', 'openStatus', 'orderNum', 'originPrice', 'payNumber', 'payTime', 'payments', 'periodNumber', 'periodType', 'price', 'priceId', 'priceRatio', 'serviceCompanyId', 'serviceCompanyName', 'settlement', 'status', 'type', 'typeName']"
queryOrderUsingPOST,订单详情,https://service.bccastle.com/om/order/queryOrder,post,['orderId']
queryOrderListUsingPOST,订单列表,https://service.bccastle.com/om/order/queryOrderList,post,"['companyId', 'cosumeCompany', 'createTime', 'gtTime', 'id', 'lsTime', 'name', 'orderNum', 'payTime', 'payments', 'priceRatio', 'serviceCompanyName', 'settlement', 'status', 'type', 'page']"
